"Closed Date","Opened Date","Market","Type","Bid/Ask","Units Filled","Units Total","Actual Rate","Cost / Proceeds"
"01/06/2018 11:19:15 AM","01/06/2018 03:27:44 AM","BTC-SC","Limit Buy","0.00000625","2970.23899200","2970.23899200","0.00000623","-0.01858062"
"01/05/2018 09:53:59 PM","01/05/2018 09:53:59 PM","BTC-SC","Limit Sell","0.00000518","3601.76131963","3601.76131963","0.00000517","0.01861048"
"01/05/2018 06:11:16 PM","01/05/2018 06:11:16 PM","BTC-RDD","Limit Buy","0.00000108","4269.78951389","4269.78951389","0.00000107","-0.00462289"
"01/05/2018 06:08:45 PM","01/05/2018 06:08:45 PM","BTC-EMC2","Limit Buy","0.00005312","30.00000000","30.00000000","0.00005312","-0.00159758"
"01/05/2018 06:06:55 PM","01/05/2018 06:06:55 PM","BTC-POWR","Limit Buy","0.00007950","25.00000000","25.00000000","0.00007950","-0.00199246"
"01/05/2018 06:00:27 PM","01/05/2018 06:00:26 PM","BTC-SC","Limit Buy","0.00000405","250.00000000","250.00000000","0.00000405","-0.00101503"
"01/05/2018 05:47:59 PM","01/05/2018 05:47:52 PM","BTC-ETH","Limit Sell","0.05536905","0.16601496","0.16601496","0.05536904","0.00916911"
"12/29/2017 09:02:30 PM","12/29/2017 09:02:30 PM","BTC-XRP","Limit Buy","0.00017095","44.12456859","44.12456859","0.00016961","-0.00750311"
